repetition,num_actions,occurrence_ratio,conflct_ratio,time_performance,makespan,total_waiting_time,total_flow_time
1,500,1,0.14,1298.9170000000001,102.0,25081.0,25580.0
2,500,1,0.14,1390.576,111.0,26076.0,26575.0
3,500,1,0.14,1428.4143333333334,111.0,26606.0,27105.0
4,500,1,0.14,1404.253,115.0,25312.0,25811.0
5,500,1,0.14,1431.0093333333334,111.0,27279.0,27778.0
6,500,1,0.14,1412.2893333333334,111.0,25858.0,26357.0
7,500,1,0.14,1361.7546666666667,105.0,25593.0,26092.0
8,500,1,0.14,1343.0006666666666,108.0,26162.0,26661.0
9,500,1,0.14,1363.8743333333332,107.0,24312.0,24811.0
10,500,1,0.14,1423.6716666666669,110.0,26259.0,26758.0
1,500,1,0.15,1502.8606666666667,114.0,27698.0,28197.0
2,500,1,0.15,1534.6686666666665,116.0,28495.0,28994.0
3,500,1,0.15,1706.0933333333335,127.0,31598.0,32097.0
4,500,1,0.15,1578.283333333333,119.0,30654.0,31153.0
5,500,1,0.15,1601.4086666666665,120.0,30208.0,30707.0
6,500,1,0.15,1502.8253333333334,117.0,29077.0,29576.0
7,500,1,0.15,1459.4016666666666,114.0,26419.0,26918.0
8,500,1,0.15,1509.443,113.0,28531.0,29030.0
9,500,1,0.15,1491.9463333333333,114.0,26747.0,27246.0
10,500,1,0.15,1547.7873333333334,117.0,28500.0,28999.0
1,500,1,0.16,1700.124,125.0,30716.0,31215.0
2,500,1,0.16,1770.1266666666668,129.0,32523.0,33022.0
3,500,1,0.16,1421.7333333333333,109.0,25825.0,26324.0
4,500,1,0.16,1472.863,112.0,27603.0,28102.0
5,500,1,0.16,1557.2446666666667,120.0,27286.0,27785.0
6,500,1,0.16,1559.1886666666667,115.0,28051.0,28550.0
7,500,1,0.16,1703.7540000000001,128.0,30377.0,30876.0
8,500,1,0.16,1694.6456666666666,126.0,30058.0,30557.0
9,500,1,0.16,1603.5403333333334,122.0,27284.0,27783.0
10,500,1,0.16,1439.3670000000002,107.0,27285.0,27784.0
1,500,1,0.17,1935.1793333333333,138.0,33478.0,33977.0
2,500,1,0.17,1842.7716666666668,134.0,31185.0,31684.0
3,500,1,0.17,1656.3543333333334,121.0,29640.0,30139.0
4,500,1,0.17,1671.8163333333334,122.0,29434.0,29933.0
5,500,1,0.17,1902.1036666666666,137.0,33134.0,33633.0
6,500,1,0.17,1689.7063333333335,127.0,30532.0,31031.0
7,500,1,0.17,1722.3416666666665,125.0,31660.0,32159.0
8,500,1,0.17,1813.5710000000001,132.0,31338.0,31837.0
9,500,1,0.17,1640.1733333333334,122.0,28670.0,29169.0
10,500,1,0.17,1787.9606666666666,129.0,31459.0,31958.0
1,500,1,0.18,1915.437,136.0,34393.0,34892.0
2,500,1,0.18,1698.6506666666667,126.0,28670.0,29169.0
3,500,1,0.18,1883.1410000000003,135.0,31515.0,32014.0
4,500,1,0.18,1728.8053333333335,124.0,30428.0,30927.0
5,500,1,0.18,1827.5806666666667,132.0,31144.0,31643.0
6,500,1,0.18,1871.1743333333334,136.0,32857.0,33356.0
7,500,1,0.18,1705.8433333333332,128.0,30677.0,31176.0
8,500,1,0.18,1939.46,138.0,34171.0,34670.0
9,500,1,0.18,1993.1589999999999,144.0,33897.0,34396.0
10,500,1,0.18,2020.2920000000001,144.0,36732.0,37231.0
1,500,1,0.19,2078.5373333333337,147.0,34531.0,35030.0
2,500,1,0.19,2041.0016666666663,146.0,35776.0,36275.0
3,500,1,0.19,2100.0676666666664,144.0,34802.0,35301.0
4,500,1,0.19,1919.4463333333333,134.0,32530.0,33029.0
5,500,1,0.19,2095.3023333333335,148.0,37461.0,37960.0
6,500,1,0.19,2049.054333333333,147.0,34232.0,34731.0
7,500,1,0.19,1884.5303333333334,132.0,33592.0,34091.0
8,500,1,0.19,2052.1780000000003,144.0,34800.0,35299.0
9,500,1,0.19,1944.4306666666664,140.0,34449.0,34948.0
10,500,1,0.19,2039.4116666666666,141.0,34491.0,34990.0
1,500,1,0.2,1840.2333333333336,129.0,30759.0,31258.0
2,500,1,0.2,1991.609333333333,138.0,33146.0,33645.0
3,500,1,0.2,2249.418666666667,153.0,37709.0,38208.0
4,500,1,0.2,2192.2613333333334,144.0,35744.0,36243.0
5,500,1,0.2,1983.3276666666668,138.0,33916.0,34415.0
6,500,1,0.2,2020.586,139.0,34354.0,34853.0
7,500,1,0.2,2407.908,163.0,40440.0,40939.0
8,500,1,0.2,2221.634333333333,150.0,37371.0,37870.0
9,500,1,0.2,2054.9003333333335,142.0,33914.0,34413.0
10,500,1,0.2,2060.152666666667,140.0,35105.0,35604.0
1,500,1,0.21,2355.8123333333333,161.0,39801.0,40300.0
2,500,1,0.21,2166.2186666666666,145.0,34455.0,34954.0
3,500,1,0.21,2221.606333333333,152.0,37583.0,38082.0
4,500,1,0.21,2219.4106666666667,145.0,37830.0,38329.0
5,500,1,0.21,2308.1823333333336,153.0,37579.0,38078.0
6,500,1,0.21,2381.052666666667,155.0,37170.0,37669.0
7,500,1,0.21,2221.385333333333,152.0,35922.0,36421.0
8,500,1,0.21,2268.753,152.0,36918.0,37417.0
9,500,1,0.21,2372.621666666667,155.0,39067.0,39566.0
10,500,1,0.21,2318.8866666666668,157.0,37516.0,38015.0
1,500,1,0.22,2309.468666666666,154.0,36579.0,37078.0
2,500,1,0.22,2480.5763333333334,166.0,40502.0,41001.0
3,500,1,0.22,2392.3596666666667,157.0,39244.0,39743.0
4,500,1,0.22,2236.673666666667,149.0,36404.0,36903.0
5,500,1,0.22,2600.7833333333333,171.0,42031.0,42530.0
6,500,1,0.22,2388.4126666666666,160.0,39129.0,39628.0
7,500,1,0.22,2304.0143333333335,157.0,37703.0,38202.0
8,500,1,0.22,2360.0336666666667,151.0,38551.0,39050.0
9,500,1,0.22,2316.1183333333333,155.0,37885.0,38384.0
10,500,1,0.22,2391.722,157.0,38538.0,39037.0
1,500,1,0.23,2534.740333333333,168.0,39322.0,39821.0
2,500,1,0.23,2354.356,154.0,38879.0,39378.0
3,500,1,0.23,2527.734,168.0,39590.0,40089.0
4,500,1,0.23,2398.347,157.0,38751.0,39250.0
5,500,1,0.23,2450.688,166.0,39837.0,40336.0
6,500,1,0.23,2394.1916666666666,153.0,38011.0,38510.0
7,500,1,0.23,2741.4203333333335,178.0,44939.0,45438.0
8,500,1,0.23,2704.104,174.0,43904.0,44403.0
9,500,1,0.23,2456.9846666666667,159.0,39442.0,39941.0
10,500,1,0.23,2385.2763333333332,158.0,37718.0,38217.0
1,500,1,0.24,2576.333666666667,165.0,40500.0,40999.0
2,500,1,0.24,2569.3343333333332,170.0,40129.0,40628.0
3,500,1,0.24,2763.314,179.0,42549.0,43048.0
4,500,1,0.24,2527.610666666667,161.0,39658.0,40157.0
5,500,1,0.24,2491.091,158.0,38852.0,39351.0
6,500,1,0.24,2530.134666666667,167.0,38502.0,39001.0
7,500,1,0.24,2446.940666666667,161.0,37453.0,37952.0
8,500,1,0.24,2510.9323333333336,158.0,39443.0,39942.0
9,500,1,0.24,2631.9469999999997,167.0,41208.0,41707.0
10,500,1,0.24,2587.3920000000003,168.0,41463.0,41962.0
1,500,1,0.25,2748.436,172.0,44013.0,44512.0
2,500,1,0.25,2733.5183333333334,171.0,40422.0,40921.0
3,500,1,0.25,2495.54,161.0,37666.0,38165.0
4,500,1,0.25,2724.252,171.0,41253.0,41752.0
5,500,1,0.25,2617.2476666666666,170.0,39803.0,40302.0
6,500,1,0.25,2824.222333333333,181.0,44598.0,45097.0
7,500,1,0.25,2712.0453333333335,171.0,42672.0,43171.0
8,500,1,0.25,2686.7953333333335,175.0,40968.0,41467.0
9,500,1,0.25,3084.7580000000003,193.0,49249.0,49748.0
10,500,1,0.25,2771.5,175.0,42369.0,42868.0
1,500,1,0.26,3089.449,195.0,46689.0,47188.0
2,500,1,0.26,2734.141,170.0,41373.0,41872.0
3,500,1,0.26,2697.1493333333333,167.0,39960.0,40459.0
4,500,1,0.26,2788.5236666666665,178.0,42206.0,42705.0
5,500,1,0.26,2827.8113333333336,177.0,43903.0,44402.0
6,500,1,0.26,3177.166333333333,196.0,48339.0,48838.0
7,500,1,0.26,2787.117,173.0,41269.0,41768.0
8,500,1,0.26,2874.221,177.0,44476.0,44975.0
9,500,1,0.26,3025.977666666667,182.0,45941.0,46440.0
10,500,1,0.26,2958.3306666666667,183.0,44987.0,45486.0
1,500,1,0.27,2886.3283333333334,177.0,42546.0,43045.0
2,500,1,0.27,2952.7076666666667,181.0,44480.0,44979.0
3,500,1,0.27,3170.074,189.0,46027.0,46526.0
4,500,1,0.27,3098.030666666667,187.0,44638.0,45137.0
5,500,1,0.27,3021.9030000000002,185.0,45652.0,46151.0
6,500,1,0.27,2795.594333333333,172.0,41902.0,42401.0
7,500,1,0.27,3210.8086666666663,194.0,47836.0,48335.0
8,500,1,0.27,2990.8549999999996,187.0,45786.0,46285.0
9,500,1,0.27,2791.4896666666664,172.0,41389.0,41888.0
10,500,1,0.27,3172.703,190.0,49198.0,49697.0
1,500,1,0.28,3011.790333333333,181.0,45366.0,45865.0
2,500,1,0.28,3094.7773333333334,186.0,45141.0,45640.0
3,500,1,0.28,3143.4979999999996,188.0,46592.0,47091.0
4,500,1,0.28,3063.3423333333335,186.0,45729.0,46228.0
5,500,1,0.28,3068.4113333333335,185.0,43743.0,44242.0
6,500,1,0.28,3197.1263333333336,191.0,47101.0,47600.0
7,500,1,0.28,2930.2213333333334,182.0,42601.0,43100.0
8,500,1,0.28,3092.3316666666665,183.0,46000.0,46499.0
9,500,1,0.28,3203.328666666667,190.0,46982.0,47481.0
10,500,1,0.28,2947.2646666666665,180.0,43360.0,43859.0
1,500,1,0.29,3157.343666666666,190.0,45701.0,46200.0
2,500,1,0.29,3235.8106666666667,193.0,47566.0,48065.0
3,500,1,0.29,3135.5153333333333,189.0,46208.0,46707.0
4,500,1,0.29,3174.223,190.0,48474.0,48973.0
5,500,1,0.29,3423.1986666666667,200.0,48475.0,48974.0
6,500,1,0.29,3272.8609999999994,191.0,46696.0,47195.0
7,500,1,0.29,3166.918333333333,190.0,46158.0,46657.0
8,500,1,0.29,3239.9509999999996,192.0,46272.0,46771.0
9,500,1,0.29,3295.6516666666666,201.0,47781.0,48280.0
10,500,1,0.29,3273.748,193.0,48944.0,49443.0
